,user_id,cluster
0,0,6
1,1,16
2,2,1
3,3,18
4,4,22
5,5,2
6,6,18
7,7,23
8,8,29
9,9,26
10,10,1
11,11,22
12,12,29
13,13,16
14,14,6
15,15,6
16,16,31
17,17,27
18,18,16
19,19,12
20,20,31
21,21,8
22,22,17
23,23,12
24,24,2
25,25,0
26,26,20
27,27,18
28,28,12
29,29,8
30,30,6
31,31,20
32,32,27
33,33,27
34,34,16
35,35,1
36,36,17
37,37,0
38,38,0
39,39,17
40,40,28
41,41,31
42,42,16
43,43,11
44,44,1
45,45,6
46,46,16
47,47,26
48,48,12
49,49,29
50,50,14
51,51,29
52,52,19
53,53,1
54,54,20
55,55,16
56,56,20
57,57,20
58,58,11
59,59,16
60,60,9
61,61,6
62,62,11
63,63,6
64,64,1
65,65,7
66,66,26
67,67,26
68,68,3
69,69,17
70,70,17
71,71,27
72,72,27
73,73,0
74,74,13
75,75,15
76,76,26
77,77,23
78,78,28
79,79,27
80,80,6
81,81,17
82,82,19
83,83,5
84,84,26
85,85,19
86,86,10
87,87,12
88,88,6
89,89,28
90,90,12
91,91,1
92,92,19
93,93,20
94,94,1
95,95,9
96,96,8
97,97,17
98,98,6
99,99,27
100,100,0
101,101,0
102,102,12
103,103,8
104,104,12
105,105,0
106,106,27
107,107,25
108,108,2
109,109,6
110,110,2
111,111,26
112,112,27
113,113,2
114,114,25
115,115,10
116,116,26
117,117,8
118,118,8
119,119,28
120,120,16
121,121,29
122,122,1
123,123,2
124,124,8
125,125,20
126,126,4
127,127,6
128,128,15
129,129,8
130,130,6
131,131,8
132,132,24
133,133,12
134,134,19
135,135,1
136,136,3
137,137,6
138,138,9
139,139,1
140,140,8
141,141,17
142,142,19
143,143,20
144,144,17
145,145,30
146,146,17
147,147,9
148,148,27
149,149,12
150,150,15
151,151,17
152,152,20
153,153,27
154,154,13
155,155,8
156,156,27
157,157,6
158,158,7
159,159,1
160,160,3
161,161,0
162,162,17
163,163,12
164,164,12
165,165,16
166,166,7
167,167,26
168,168,31
169,169,19
170,170,28
171,171,19
172,172,2
173,173,26
174,174,29
175,175,23
176,176,6
177,177,2
178,178,27
179,179,17
180,180,1
181,181,23
182,182,19
183,183,6
184,184,12
185,185,24
186,186,28
187,187,27
188,188,15
189,189,20
190,190,8
191,191,12
192,192,1
193,193,11
194,194,8
195,195,23
196,196,26
197,197,20
198,198,19
199,199,18
200,200,12
201,201,16
202,202,0
203,203,23
204,204,31
205,205,31
206,206,7
207,207,19
208,208,31
209,209,19
210,210,15
211,211,8
212,212,1
213,213,26
214,214,2
215,215,25
216,216,27
217,217,19
218,218,12
219,219,1
220,220,30
221,221,20
222,222,20
223,223,12
224,224,21
225,225,29
226,226,21
227,227,27
228,228,31
229,229,1
230,230,28
231,231,16
232,232,29
233,233,0
234,234,3
235,235,25
236,236,26
237,237,19
238,238,8
239,239,6
240,240,6
241,241,2
242,242,1
243,243,19
244,244,8
245,245,8
246,246,8
247,247,27
248,248,17
249,249,7
250,250,8
251,251,1
252,252,1
253,253,1
254,254,16
255,255,9
